STATE,BUS_TYPE,DRUG_NAME,DRUG_CODE,BUYERS,TOTAL_GRAMS
ALABAMA,HOSPITALS,ALFENTANIL,9737,2.0,0.22
ALABAMA,HOSPITALS,AMOBARBITAL (SCHEDULE 2),2125,2.0,5.01
ALABAMA,HOSPITALS,AMPHETAMINE,1100,65.0,7382.21
ALABAMA,HOSPITALS,BUPRENORPHINE,9064,94.0,427.25
ALABAMA,HOSPITALS,BUTALBITAL,2165,11.0,165.0
ALABAMA,HOSPITALS,COCAINE,9041L,43.0,157.56
ALABAMA,HOSPITALS,CODEINE,9050,121.0,7027.31
ALABAMA,HOSPITALS,DIHYDROCODEINE,9120,1.0,1.07
ALABAMA,HOSPITALS,FENTANYL BASE,9801,138.0,493.54
ALABAMA,HOSPITALS,HYDROCODONE,9193,143.0,56375.3
ALABAMA,HOSPITALS,HYDROMORPHONE,9150,132.0,3044.97
ALABAMA,HOSPITALS,LISDEXAMFETAMINE,1205,26.0,3181.28
ALABAMA,HOSPITALS,MEPERIDINE (PETHIDINE),9230,120.0,16370.47
ALABAMA,HOSPITALS,METHADONE,9250B,109.0,5402.0
ALABAMA,HOSPITALS,METHYLPHENIDATE (DL;D;L;ISOMERS),1724,87.0,7625.83
ALABAMA,HOSPITALS,MORPHINE,9300,146.0,35863.75
ALABAMA,HOSPITALS,OPIUM POWDERED,9639,54.0,226.44
ALABAMA,HOSPITALS,OXYCODONE,9143,139.0,34269.74
ALABAMA,HOSPITALS,OXYMORPHONE,9652,21.0,97.91
ALABAMA,HOSPITALS,PENTOBARBITAL (SCHEDULE 2),2270,5.0,1338.39
ALABAMA,HOSPITALS,REMIFENTANIL,9739,14.0,10.89
ALABAMA,HOSPITALS,SUFENTANIL BASE,9740,32.0,1.46
ALABAMA,HOSPITALS,TAPENTADOL,9780,32.0,1773.0
ALABAMA,MID-LEVEL PRACTITIONERS,DIHYDROCODEINE,9120,10.0,1.76
ALABAMA,MID-LEVEL PRACTITIONERS,PENTOBARBITAL (SCHEDULE 2),2270,23.0,35460.3
ALABAMA,NARCOTIC TREATMENT PROGRAMS,BUPRENORPHINE,9064,9.0,306.41
ALABAMA,NARCOTIC TREATMENT PROGRAMS,METHADONE,9250B,22.0,250446.27
ALABAMA,PHARMACIES,AMPHETAMINE,1100,1360.0,475334.85
ALABAMA,PHARMACIES,BUPRENORPHINE,9064,1288.0,81881.39
ALABAMA,PHARMACIES,BUTALBITAL,2165,872.0,33415.0
ALABAMA,PHARMACIES,CODEINE,9050,1357.0,243937.7
ALABAMA,PHARMACIES,D-METHAMPHETAMINE,1105D,13.0,24.1
ALABAMA,PHARMACIES,DIHYDROCODEINE,9120,540.0,2073.3
